==========================================
SOFTWARE PACKAGE INVENTORY REPORT
==========================================
TimeStamp           : 08-07-2026 19:25:33
Operating System    : Ubuntu 24.04.4 LTS
Package Manager     : apt
Installed Packages  : 2077
Available Updates   : 8

==========================================
INSTALLED PACKAGE LIST
libbluetooth3:amd64 5.72-0ubuntu5.5 Installed
libbluray2:amd64 1:1.3.4-1build1 Installed
libboost-iostreams1.83.0:amd64 1.83.0-2.1ubuntu3.2 Installed
libboost-locale1.83.0:amd64 1.83.0-2.1ubuntu3.2 Installed
libboost-thread1.83.0:amd64 1.83.0-2.1ubuntu3.2 Installed
libbpf1:amd64 1:1.3.0-2build2 Installed
libbpfcc:amd64 0.29.1+ds-1ubuntu7 Installed
libbrlapi0.8:amd64 6.6-4ubuntu5 Installed
libbrotli1:amd64 1.1.0-2build2 Installed
libbs2b0:amd64 3.1.0+dfsg-7build1 Installed
libbsd0:amd64 0.12.1-1build1.1 Installed
libbsd0:i386 0.12.1-1build1.1 Installed
libburn4t64:amd64 1.5.6-1.1build1 Installed
libbytesize-common 2.10-1ubuntu2 Installed
libbytesize1:amd64 2.10-1ubuntu2 Installed
libbz2-1.0:amd64 1.0.8-5.1build0.1 Installed
libc-bin 2.39-0ubuntu8.7 Installed
libc-dev-bin 2.39-0ubuntu8.7 Installed
libc-devtools 2.39-0ubuntu8.7 Installed
libc6:amd64 2.39-0ubuntu8.7 Installed
libc6:i386 2.39-0ubuntu8.7 Installed
libc6-dbg:amd64 2.39-0ubuntu8.7 Installed
libc6-dev:amd64 2.39-0ubuntu8.7 Installed
libcaca0:amd64 0.99.beta20-4ubuntu0.2 Installed
libcairo-gobject-perl 1.005-4build3 Installed
libcairo-gobject2:amd64 1.18.0-3build1 Installed
libcairo-perl 1.109-4build1 Installed
libcairo-script-interpreter2:amd64 1.18.0-3build1 Installed
libcairo2:amd64 1.18.0-3build1 Installed
libcairomm-1.0-1v5:amd64 1.14.5-1build1 Installed
libcairomm-1.16-1:amd64 1.18.0-1build1 Installed
libcamel-1.2-64t64:amd64 3.52.3-0ubuntu1.2 Installed
libcamera0.2:amd64 0.2.0-3fakesync1build6 Installed
libcanberra-gtk3-0t64:amd64 0.30-10ubuntu10 Installed
libcanberra-gtk3-module:amd64 0.30-10ubuntu10 Installed
libcanberra-pulse:amd64 0.30-10ubuntu10 Installed
libcanberra0t64:amd64 0.30-10ubuntu10 Installed
libcap-ng0:amd64 0.8.4-2build2 Installed
libcap2:amd64 1:2.66-5ubuntu2.4 Installed
libcap2-bin 1:2.66-5ubuntu2.4 Installed
libcares2:amd64 1.27.0-1.0ubuntu1 Installed
libcbor0.10:amd64 0.10.2-1.2ubuntu2 Installed
libcc1-0:amd64 14.2.0-4ubuntu2~24.04.1 Installed
libcdio-cdda2t64:amd64 10.2+2.0.1-1.1build2 Installed
libcdio-paranoia2t64:amd64 10.2+2.0.1-1.1build2 Installed
libcdio19t64:amd64 2.1.0-4.1ubuntu1.2 Installed
libcdparanoia0:amd64 3.10.2+debian-14build3 Installed
libcdr-0.1-1:amd64 0.1.7-1build2 Installed
libcgi-fast-perl 1:2.17-1 Installed
libcgi-pm-perl 4.63-1 Installed
libchewing3:amd64 0.6.0-1build1 Installed
libchewing3-data 0.6.0-1build1 Installed
libchromaprint1:amd64 1.5.1-5 Installed
libcjson1:amd64 1.7.17-1 Installed
libclang-cpp18 1:18.1.3-1ubuntu1 Installed
libclang1-18 1:18.1.3-1ubuntu1 Installed
libclone-perl:amd64 0.46-1build3 Installed
libclucene-contribs1t64:amd64 2.3.3.4+dfsg-1.2ubuntu2 Installed
libclucene-core1t64:amd64 2.3.3.4+dfsg-1.2ubuntu2 Installed
libcodec2-1.2:amd64 1.2.0-2build1 Installed
libcolamd3:amd64 1:7.6.1+dfsg-1build1 Installed
libcollection4t64:amd64 0.6.2-2.1build1 Installed
libcolord-gtk4-1t64:amd64 0.3.1-1build2 Installed
libcolord2:amd64 1.4.7-1build2 Installed
libcolorhug2:amd64 1.4.7-1build2 Installed
libcom-err2:amd64 1.47.0-2.4~exp1ubuntu4.1 Installed
libcrack2:amd64 2.9.6-5.1build2 Installed
libcrypt-dev:amd64 1:4.4.36-4build1 Installed
libcrypt1:amd64 1:4.4.36-4build1 Installed
libcryptsetup12:amd64 2:2.7.0-1ubuntu4.2 Installed
libctf-nobfd0:amd64 2.42-4ubuntu2.10 Installed
libctf0:amd64 2.42-4ubuntu2.10 Installed
libcue2:amd64 2.2.1-4.1build1 Installed
libcups2t64:amd64 2.4.7-1.2ubuntu7.14 Installed
libcupsfilters2-common 2.0.0-0ubuntu7.2 Installed
libcupsfilters2t64:amd64 2.0.0-0ubuntu7.2 Installed
libcupsimage2t64:amd64 2.4.7-1.2ubuntu7.14 Installed
libcurl3t64-gnutls:amd64 8.5.0-2ubuntu10.10 Installed
libcurl4t64:amd64 8.5.0-2ubuntu10.10 Installed
libdaemon0:amd64 0.14-7.1ubuntu4 Installed
libdata-dump-perl 1.25-1 Installed
libdatrie1:amd64 0.2.13-3build1 Installed
libdav1d7:amd64 1.4.1-1build1 Installed
libdb5.3t64:amd64 5.3.28+dfsg2-7 Installed
libdbus-1-3:amd64 1.14.10-4ubuntu4.1 Installed
libdbus-glib-1-2:amd64 0.112-3build2 Installed
libdbusmenu-glib4:amd64 18.10.20180917~bzr492+repack1-3.1ubuntu5 Installed
libdbusmenu-gtk3-4:amd64 18.10.20180917~bzr492+repack1-3.1ubuntu5 Installed
libdc1394-25:amd64 2.2.6-4build1 Installed
libdca0:amd64 0.0.7-2build1 Installed
libdconf1:amd64 0.40.0-4ubuntu0.1 Installed
libde265-0:amd64 1.0.15-1build3 Installed
libdebconfclient0:amd64 0.271ubuntu3 Installed
libdebuginfod-common 0.190-1.1ubuntu0.1 Installed
libdebuginfod1t64:amd64 0.190-1.1ubuntu0.1 Installed
libdecor-0-0:amd64 0.2.2-1build2 Installed
libdecor-0-plugin-1-gtk:amd64 0.2.2-1build2 Installed
libdee-1.0-4:amd64 1.2.7+17.10.20170616-7build5 Installed
libdeflate0:amd64 1.19-1build1.1 Installed
libdevmapper1.02.1:amd64 2:1.02.185-3ubuntu3.2 Installed
libdhash1t64:amd64 0.6.2-2.1build1 Installed
libdirectfb-1.7-7t64:amd64 1.7.7-11.1ubuntu2 Installed
libdjvulibre-text 3.5.28-2ubuntu0.24.04.2 Installed
libdjvulibre21:amd64 3.5.28-2ubuntu0.24.04.2 Installed
libdmapsharing-4.0-3t64:amd64 3.9.13-2build1 Installed
libdotconf0:amd64 1.3-0.3fakesync1build3 Installed
libdpkg-perl 1.22.6ubuntu6.6 Installed
libdrm-amdgpu1:amd64 2.4.125-1ubuntu0.1~24.04.2 Installed
libdrm-amdgpu1:i386 2.4.125-1ubuntu0.1~24.04.2 Installed
libdrm-common 2.4.125-1ubuntu0.1~24.04.2 Installed
libdrm-intel1:amd64 2.4.125-1ubuntu0.1~24.04.2 Installed
libdrm-intel1:i386 2.4.125-1ubuntu0.1~24.04.2 Installed
libdrm-nouveau2:amd64 2.4.125-1ubuntu0.1~24.04.2 Installed
libdrm-radeon1:amd64 2.4.125-1ubuntu0.1~24.04.2 Installed
libdrm2:amd64 2.4.125-1ubuntu0.1~24.04.2 Installed
libdrm2:i386 2.4.125-1ubuntu0.1~24.04.2 Installed
libduktape207:amd64 2.7.0+tests-0ubuntu3 Installed
libdv4t64:amd64 1.0.0-17.1build1 Installed
libdvdnav4:amd64 6.1.1-3build1 Installed
libdvdread8t64:amd64 6.1.3-1.1build1 Installed
libdw1t64:amd64 0.190-1.1ubuntu0.1 Installed
libe-book-0.1-1:amd64 0.1.3-2build6 Installed
libeatmydata1:amd64 131-1ubuntu1 Installed
libebackend-1.2-11t64:amd64 3.52.3-0ubuntu1.2 Installed
libebook-1.2-21t64:amd64 3.52.3-0ubuntu1.2 Installed
libebook-contacts-1.2-4t64:amd64 3.52.3-0ubuntu1.2 Installed
libecal-2.0-3:amd64 3.52.3-0ubuntu1.2 Installed
libedata-book-1.2-27t64:amd64 3.52.3-0ubuntu1.2 Installed
libedata-cal-2.0-2t64:amd64 3.52.3-0ubuntu1.2 Installed
libedataserver-1.2-27t64:amd64 3.52.3-0ubuntu1.2 Installed
libedataserverui-1.2-4t64:amd64 3.52.3-0ubuntu1.2 Installed
libedataserverui4-1.0-0t64:amd64 3.52.3-0ubuntu1.2 Installed
libedit2:amd64 3.1-20230828-1build1 Installed
libedit2:i386 3.1-20230828-1build1 Installed
libeditorconfig0:amd64 0.12.7-0.1ubuntu0.1 Installed
libefiboot1t64:amd64 38-3.1build1 Installed
libefivar1t64:amd64 38-3.1build1 Installed
libegl-mesa0:amd64 25.2.8-0ubuntu0.24.04.2 Installed
libegl1:amd64 1.7.0-1build1 Installed
libei1:amd64 1.2.1-1 Installed
libeis1:amd64 1.2.1-1 Installed
libelf1t64:amd64 0.190-1.1ubuntu0.1 Installed
libelf1t64:i386 0.190-1.1ubuntu0.1 Installed
libenchant-2-2:amd64 2.3.3-2build2 Installed
libencode-locale-perl 1.05-3 Installed
libeot0:amd64 0.01-5build3 Installed
libepoxy0:amd64 1.5.10-1build1 Installed
libepubgen-0.1-1:amd64 0.1.1-1ubuntu6 Installed
liberror-perl 0.17029-2 Installed
libespeak-ng1:amd64 1.51+dfsg-12build1 Installed
libestr0:amd64 0.1.11-1build1 Installed
libetonyek-0.1-1:amd64 0.1.10-5build1 Installed
libevdev2:amd64 1.13.1+dfsg-1build1 Installed
libevdocument3-4t64:amd64 46.3.1-0ubuntu1.1 Installed
libevent-2.1-7t64:amd64 2.1.12-stable-9ubuntu2 Installed
libevent-core-2.1-7t64:amd64 2.1.12-stable-9ubuntu2 Installed
libevent-pthreads-2.1-7t64:amd64 2.1.12-stable-9ubuntu2 Installed
libevview3-3t64:amd64 46.3.1-0ubuntu1.1 Installed
libexempi8:amd64 2.6.5-1build1 Installed
libexif12:amd64 0.6.24-1build2 Installed
libexiv2-27:amd64 0.27.6-1ubuntu0.3 Installed
libexpat1:amd64 2.6.1-2ubuntu0.4 Installed
libexpat1:i386 2.6.1-2ubuntu0.4 Installed
libexpat1-dev:amd64 2.6.1-2ubuntu0.4 Installed
libext2fs2t64:amd64 1.47.0-2.4~exp1ubuntu4.1 Installed
libexttextcat-2.0-0:amd64 3.4.7-1build1 Installed
libexttextcat-data 3.4.7-1build1 Installed
libextutils-depends-perl 0.8001-2 Installed
libfaad2:amd64 2.11.1-1build1 Installed
libfakeroot:amd64 1.33-1 Installed
libfastjson4:amd64 1.2304.0-1build1 Installed
libfcgi-bin 2.4.2-2.1ubuntu0.24.04.1 Installed
libfcgi-perl 0.82+ds-3build2 Installed
libfcgi0t64:amd64 2.4.2-2.1ubuntu0.24.04.1 Installed
libfdisk1:amd64 2.39.3-9ubuntu6.5 Installed
libffi8:amd64 3.4.6-1build1 Installed
libffi8:i386 3.4.6-1build1 Installed
libfftw3-double3:amd64 3.3.10-1ubuntu3 Installed
libfftw3-single3:amd64 3.3.10-1ubuntu3 Installed
libfido2-1:amd64 1.14.0-1build3 Installed
libfile-basedir-perl 0.09-2 Installed
libfile-desktopentry-perl 0.22-3 Installed
libfile-fcntllock-perl 0.22-4ubuntu5 Installed
libfile-listing-perl 6.16-1 Installed
libfile-mimeinfo-perl 0.34-1 Installed
libflac12t64:amd64 1.4.3+ds-2.1ubuntu2 Installed
libflashrom1:amd64 1.3.0-2.1ubuntu2 Installed
libflite1:amd64 2.2-6build3 Installed
libfluidsynth3:amd64 2.3.4-1build3 Installed
libfont-afm-perl 1.20-4 Installed
libfontconfig1:amd64 2.15.0-1.1ubuntu2 Installed
libfontenc1:amd64 1:1.1.8-1build1 Installed
libfprint-2-2 1:1.94.7+tod1-0ubuntu5~24.04.7 Installed
libfprint-2-tod1:amd64 1:1.94.7+tod1-0ubuntu5~24.04.7 Installed
libfreeaptx0:amd64 0.1.1-2build1 Installed
libfreehand-0.1-1 0.1.2-3build3 Installed
libfreerdp-client3-3:amd64 3.5.1+dfsg1-0ubuntu1.6 Installed
libfreerdp-server3-3:amd64 3.5.1+dfsg1-0ubuntu1.6 Installed
libfreerdp3-3:amd64 3.5.1+dfsg1-0ubuntu1.6 Installed
libfreetype6:amd64 2.13.2+dfsg-1ubuntu0.1 Installed
libfribidi0:amd64 1.0.13-3build1 Installed
libftdi1-2:amd64 1.5-6build5 Installed
libfuse3-3:amd64 3.14.0-5build1 Installed
libfwupd3:amd64 2.0.20-1ubuntu2~24.04.1 Installed
libgail-common:amd64 2.24.33-4ubuntu1.1 Installed
libgail18t64:amd64 2.24.33-4ubuntu1.1 Installed
libgamemode0:amd64 1.8.1-2build1 Installed
libgamemodeauto0:amd64 1.8.1-2build1 Installed
libgav1-1:amd64 0.18.0-1build3 Installed
libgbm1:amd64 25.2.8-0ubuntu0.24.04.2 Installed
libgbm1:i386 25.2.8-0ubuntu0.24.04.2 Installed
libgcc-13-dev:amd64 13.3.0-6ubuntu2~24.04.1 Installed
libgcc-s1:amd64 14.2.0-4ubuntu2~24.04.1 Installed
libgcc-s1:i386 14.2.0-4ubuntu2~24.04.1 Installed
libgck-1-0:amd64 3.41.2-1build3 Installed
libgck-2-2:amd64 4.2.0-5 Installed
libgcr-4-4:amd64 4.2.0-5 Installed
libgcr-base-3-1:amd64 3.41.2-1build3 Installed
libgcr-ui-3-1:amd64 3.41.2-1build3 Installed
libgcrypt20:amd64 1.10.3-2ubuntu0.1 Installed
libgd3:amd64 2.3.3-9ubuntu5 Installed
libgdata-common 0.18.1-6build2 Installed
libgdata22:amd64 0.18.1-6build2 Installed
libgdbm-compat4t64:amd64 1.23-5.1build1 Installed
libgdbm6t64:amd64 1.23-5.1build1 Installed
libgdk-pixbuf-2.0-0:amd64 2.42.10+dfsg-3ubuntu3.3 Installed
libgdk-pixbuf2.0-bin 2.42.10+dfsg-3ubuntu3.3 Installed
libgdk-pixbuf2.0-common 2.42.10+dfsg-3ubuntu3.3 Installed
libgdm1 46.2-1ubuntu1~24.04.9 Installed
libgee-0.8-2:amd64 0.20.6-1build2 Installed
libgeoclue-2-0:amd64 2.7.0-3ubuntu7 Installed
libgeocode-glib-2-0:amd64 3.26.3-6build3 Installed
libgexiv2-2:amd64 0.14.2-2build3 Installed
libgfortran5:amd64 14.2.0-4ubuntu2~24.04.1 Installed
libgif7:amd64 5.2.2-1ubuntu1 Installed
libgirepository-1.0-1:amd64 1.80.1-1 Installed
libgjs0g:amd64 1.80.2-1build2 Installed
libgl1:amd64 1.7.0-1build1 Installed
libgl1-mesa-dri:amd64 25.2.8-0ubuntu0.24.04.2 Installed
libgles2:amd64 1.7.0-1build1 Installed
libglib-object-introspection-perl 0.051-1build3 Installed
libglib-perl:amd64 3:1.329.3-3build3 Installed
libglib2.0-0t64:amd64 2.80.0-6ubuntu3.8 Installed
libglib2.0-bin 2.80.0-6ubuntu3.8 Installed
libglib2.0-data 2.80.0-6ubuntu3.8 Installed
libglibmm-2.4-1t64:amd64 2.66.7-1build1 Installed
libglibmm-2.68-1t64:amd64 2.78.1-2.2build2 Installed
libglu1-mesa:amd64 9.0.2-1.1build1 Installed
libglvnd0:amd64 1.7.0-1build1 Installed
libglx-mesa0:amd64 25.2.8-0ubuntu0.24.04.2 Installed
libglx0:amd64 1.7.0-1build1 Installed
libgme0:amd64 0.6.3-7build1 Installed
libgmp10:amd64 2:6.3.0+dfsg-2ubuntu6.1 Installed
libgnome-autoar-0-0:amd64 0.4.4-2build4 Installed
libgnome-bg-4-2t64:amd64 44.0-5build2 Installed
libgnome-bluetooth-3.0-13:amd64 46.0-1ubuntu1 Installed
libgnome-bluetooth-ui-3.0-13:amd64 46.0-1ubuntu1 Installed
libgnome-desktop-3-20t64:amd64 44.0-5build2 Installed
libgnome-desktop-4-2t64:amd64 44.0-5build2 Installed
libgnome-menu-3-0:amd64 3.36.0-1.1ubuntu3 Installed
libgnome-rr-4-2t64:amd64 44.0-5build2 Installed
libgnomekbd-common 3.28.1-1build3 Installed
libgnomekbd8:amd64 3.28.1-1build3 Installed
libgnutls30t64:amd64 3.8.3-1.1ubuntu3.6 Installed
libgoa-1.0-0b:amd64 3.50.4-0ubuntu2 Installed
libgoa-1.0-common 3.50.4-0ubuntu2 Installed
libgoa-backend-1.0-2:amd64 3.50.4-0ubuntu2 Installed
libgom-1.0-0t64:amd64 0.5.0-1 Installed
libgomp1:amd64 14.2.0-4ubuntu2~24.04.1 Installed
libgpg-error-l10n 1.47-3build2.1 Installed
libgpg-error0:amd64 1.47-3build2.1 Installed
libgpgme11t64:amd64 1.18.0-4.1ubuntu4 Installed
libgpgmepp6t64:amd64 1.18.0-4.1ubuntu4 Installed
libgphoto2-6t64:amd64 2.5.31-2.1ubuntu1 Installed
libgphoto2-l10n 2.5.31-2.1ubuntu1 Installed
libgphoto2-port12t64:amd64 2.5.31-2.1ubuntu1 Installed
libgpm2:amd64 1.20.7-11 Installed
libgpod-common 0.8.3-19.1ubuntu4 Installed
libgpod4t64:amd64 0.8.3-19.1ubuntu4 Installed
libgprofng0:amd64 2.42-4ubuntu2.10 Installed
libgraphene-1.0-0:amd64 1.10.8-3build2 Installed
libgraphite2-3:amd64 1.3.14-2ubuntu0.24.04.1 Installed
libgrilo-0.3-0:amd64 0.3.16-1build3 Installed
libgs-common 10.02.1~dfsg1-0ubuntu7.8 Installed
libgs10:amd64 10.02.1~dfsg1-0ubuntu7.8 Installed
libgs10-common 10.02.1~dfsg1-0ubuntu7.8 Installed
libgsf-1-114:amd64 1.14.51-2ubuntu0.1 Installed
libgsf-1-common 1.14.51-2ubuntu0.1 Installed
libgsm1:amd64 1.0.22-1build1 Installed
libgsound0t64:amd64 1.0.3-3.2build2 Installed
libgspell-1-2:amd64 1.12.2-1build4 Installed
libgspell-1-common 1.12.2-1build4 Installed
libgssapi-krb5-2:amd64 1.20.1-6ubuntu2.6 Installed
libgssdp-1.6-0:amd64 1.6.3-1build3 Installed
libgstreamer-gl1.0-0:amd64 1.24.2-1ubuntu0.4 Installed
libgstreamer-plugins-bad1.0-0:amd64 1.24.2-1ubuntu4 Installed
libgstreamer-plugins-base1.0-0:amd64 1.24.2-1ubuntu0.4 Installed
libgstreamer-plugins-good1.0-0:amd64 1.24.2-1ubuntu1.4 Installed
libgstreamer1.0-0:amd64 1.24.2-1ubuntu0.1 Installed
libgtk-3-0t64:amd64 3.24.41-4ubuntu1.3 Installed
libgtk-3-bin 3.24.41-4ubuntu1.3 Installed
libgtk-3-common 3.24.41-4ubuntu1.3 Installed
libgtk-4-1:amd64 4.14.5+ds-0ubuntu0.10 Installed
libgtk-4-bin 4.14.5+ds-0ubuntu0.10 Installed
libgtk-4-common 4.14.5+ds-0ubuntu0.10 Installed
libgtk-4-media-gstreamer 4.14.5+ds-0ubuntu0.10 Installed
libgtk2.0-0t64:amd64 2.24.33-4ubuntu1.1 Installed
libgtk2.0-bin 2.24.33-4ubuntu1.1 Installed
libgtk2.0-common 2.24.33-4ubuntu1.1 Installed
libgtk3-perl 0.038-3 Installed
libgtkmm-3.0-1t64:amd64 3.24.9-1 Installed
libgtkmm-4.0-0:amd64 4.10.0-4build3 Installed
libgtksourceview-5-0:amd64 5.12.0-1build1 Installed
libgtksourceview-5-common 5.12.0-1build1 Installed
libgtop-2.0-11:amd64 2.41.3-1ubuntu0.24.04.1 Installed
libgtop2-common 2.41.3-1ubuntu0.24.04.1 Installed
libgudev-1.0-0:amd64 1:238-5ubuntu1 Installed
libgupnp-1.6-0:amd64 1.6.6-1build3 Installed
libgupnp-av-1.0-3:amd64 0.14.1-2build2 Installed
libgupnp-dlna-2.0-4:amd64 0.12.0-4build2 Installed
libgupnp-igd-1.6-0:amd64 1.6.0-3build3 Installed
libgusb2:amd64 0.4.8-1build2 Installed
libgweather-4-0t64:amd64 4.4.2-1build1 Installed
libgweather-4-common 4.4.2-1build1 Installed
libgxps2t64:amd64 0.3.2-4build3 Installed
libhandy-1-0:amd64 1.8.3-1build2 Installed
libharfbuzz-gobject0:amd64 8.3.0-2build2 Installed
libharfbuzz-icu0:amd64 8.3.0-2build2 Installed
libharfbuzz0b:amd64 8.3.0-2build2 Installed
libhd21t64:amd64 21.82-1.1build1 Installed
libhdf5-103-1t64:amd64 1.10.10+repack-3.1ubuntu4 Installed
libheif-plugin-aomdec:amd64 1.17.6-1ubuntu4.4 Installed
libheif-plugin-aomenc:amd64 1.17.6-1ubuntu4.4 Installed
libheif-plugin-libde265:amd64 1.17.6-1ubuntu4.4 Installed
libheif1:amd64 1.17.6-1ubuntu4.4 Installed
libhogweed6t64:amd64 3.9.1-2.2build1.1 Installed
libhpmud0:amd64 3.23.12+dfsg0-0ubuntu5.1 Installed
libhtml-form-perl 6.11-1 Installed
libhtml-format-perl 2.16-2 Installed
libhtml-parser-perl:amd64 3.81-1build3 Installed
libhtml-tagset-perl 3.20-6 Installed
libhtml-template-perl 2.97-2 Installed
libhtml-tree-perl 5.07-3 Installed
libhttp-cookies-perl 6.11-1 Installed
libhttp-daemon-perl 6.16-1ubuntu0.24.04.1 Installed
libhttp-date-perl 6.06-1 Installed
libhttp-message-perl 6.45-1ubuntu1 Installed
libhttp-negotiate-perl 6.01-2 Installed
libhunspell-1.7-0:amd64 1.7.2+really1.7.2-10build3 Installed
libhwasan0:amd64 14.2.0-4ubuntu2~24.04.1 Installed
libhwy1t64:amd64 1.0.7-8.1build1 Installed
libhyphen0:amd64 2.8.8-7build3 Installed
libibus-1.0-5:amd64 1.5.29-2 Installed
libibverbs1:amd64 50.0-2ubuntu0.2 Installed
libical3t64:amd64 3.0.17-1.1build3 Installed
libice-dev:amd64 2:1.0.10-1build3 Installed
libice6:amd64 2:1.0.10-1build3 Installed
libicu74:amd64 74.2-1ubuntu3.1 Installed
libicu74:i386 74.2-1ubuntu3.1 Installed
libidn12:amd64 1.42-1build1 Installed
libidn2-0:amd64 2.3.7-2build1.1 Installed
libidn2-0:i386 2.3.7-2build1.1 Installed
libiec61883-0:amd64 1.2.0-6build1 Installed
libieee1284-3t64:amd64 0.2.11-14.1build1 Installed
libigdgmm12:amd64 22.3.17+ds1-1ubuntu1 Installed
libijs-0.35:amd64 0.35-15.1build1 Installed
libimagequant0:amd64 2.18.0-1build1 Installed
libimath-3-1-29t64:amd64 3.1.9-3.1ubuntu2 Installed
libimobiledevice6:amd64 1.3.0-8.1build3 Installed
libini-config5t64:amd64 0.6.2-2.1build1 Installed
libinih1:amd64 55-1ubuntu2 Installed
libinput-bin 1.25.0-1ubuntu3.4 Installed
libinput10:amd64 1.25.0-1ubuntu3.4 Installed
libinstpatch-1.0-2:amd64 1.1.6-1build2 Installed
libio-html-perl 1.004-3 Installed
libio-socket-ssl-perl 2.085-1 Installed
libio-stringy-perl 2.111-3 Installed
libip4tc2:amd64 1.8.10-3ubuntu2 Installed
libip6tc2:amd64 1.8.10-3ubuntu2 Installed
libipa-hbac0t64 2.9.4-1.1ubuntu6.5 Installed
libipc-system-simple-perl 1.30-2 Installed
libipt2 2.0.6-1build1 Installed
libisl23:amd64 0.26-3build1.1 Installed
libisoburn1t64:amd64 1:1.5.6-1.1ubuntu3 Installed
libisofs6t64:amd64 1.5.6.pl01-1.1ubuntu2 Installed
libitm1:amd64 14.2.0-4ubuntu2~24.04.1 Installed
libiw30t64:amd64 30~pre9-16.1ubuntu2 Installed
libjack-jackd2-0:amd64 1.9.21~dfsg-3ubuntu3 Installed
libjansson4:amd64 2.14-2build2 Installed
libjavascriptcoregtk-4.1-0:amd64 2.52.3-0ubuntu0.24.04.1 Installed
libjavascriptcoregtk-6.0-1:amd64 2.52.3-0ubuntu0.24.04.1 Installed
libjbig0:amd64 2.1-6.1ubuntu2 Installed
libjbig2dec0:amd64 0.20-1build3 Installed
libjcat1:amd64 0.2.3-1~ubuntu0.24.04.1 Installed
libjpeg-turbo8:amd64 2.1.5-2ubuntu2 Installed
libjpeg8:amd64 8c-2ubuntu11 Installed
libjq1:amd64 1.7.1-3ubuntu0.24.04.2 Installed
libjs-jquery 3.6.1+dfsg+~3.5.14-1 Installed
libjs-jquery-ui 1.13.2+dfsg-1 Installed
libjs-sphinxdoc 7.2.6-6 Installed
libjs-underscore 1.13.4~dfsg+~1.11.4-3 Installed
libjson-c5:amd64 0.17-1build1 Installed
libjson-glib-1.0-0:amd64 1.8.0-2build2 Installed
libjson-glib-1.0-common 1.8.0-2build2 Installed
libjxl0.7:amd64 0.7.0-10.2ubuntu6.1 Installed
libk5crypto3:amd64 1.20.1-6ubuntu2.6 Installed
libkeyutils1:amd64 1.6.3-3build1 Installed
libklibc:amd64 2.0.13-4ubuntu0.2 Installed
libkmod2:amd64 31+20240202-2ubuntu7.2 Installed
libkpathsea6:amd64 2023.20230311.66589-9build3 Installed
libkrb5-3:amd64 1.20.1-6ubuntu2.6 Installed
libkrb5support0:amd64 1.20.1-6ubuntu2.6 Installed
libksba8:amd64 1.6.6-1build1 Installed
liblangtag-common 0.6.7-1build2 Installed
liblangtag1:amd64 0.6.7-1build2 Installed
liblapack3:amd64 3.12.0-3build1.1 Installed
liblbfgsb0:amd64 3.0+dfsg.4-1build1 Installed
liblc3-1:amd64 1.0.4-3build1 Installed
liblcms2-2:amd64 2.14-2ubuntu0.1 Installed
liblcms2-utils 2.14-2ubuntu0.1 Installed
libldacbt-abr2:amd64 2.0.2.3+git20200429+ed310a0-4ubuntu2 Installed
libldacbt-enc2:amd64 2.0.2.3+git20200429+ed310a0-4ubuntu2 Installed
libldap-common 2.6.10+dfsg-0ubuntu0.24.04.1 Installed
libldap2:amd64 2.6.10+dfsg-0ubuntu0.24.04.1 Installed
libldb2:amd64 2:2.8.0+samba4.19.5+dfsg-4ubuntu9.6 Installed
liblerc4:amd64 4.0.0+ds-4ubuntu2 Installed
liblilv-0-0:amd64 0.24.22-1build1 Installed
liblinear4:amd64 2.3.0+dfsg-5build1 Installed
liblirc-client0t64:amd64 0.10.2-0.8build1 Installed
libllvm18:amd64 1:18.1.3-1ubuntu1 Installed
libllvm20:amd64 1:20.1.2-0ubuntu1~24.04.3 Installed
libllvm20:i386 1:20.1.2-0ubuntu1~24.04.3 Installed
liblmdb0:amd64 0.9.31-1build1 Installed
liblocale-gettext-perl 1.07-6ubuntu5 Installed
liblouis-data 3.29.0-1build1 Installed
liblouis20:amd64 3.29.0-1build1 Installed
liblouisutdml-bin 2.12.0-3.1build1 Installed
liblouisutdml-data 2.12.0-3.1build1 Installed
liblouisutdml9t64:amd64 2.12.0-3.1build1 Installed
liblrdf0:amd64 0.6.1-4build1 Installed
liblsan0:amd64 14.2.0-4ubuntu2~24.04.1 Installed
libltc11:amd64 1.3.2-1build1 Installed
libltdl7:amd64 2.4.7-7build1 Installed
liblttng-ust-common1t64:amd64 2.13.7-1.1ubuntu2 Installed
liblttng-ust-ctl5t64:amd64 2.13.7-1.1ubuntu2 Installed
liblttng-ust1t64:amd64 2.13.7-1.1ubuntu2 Installed
liblua5.2-0:amd64 5.2.4-3build2 Installed
liblua5.4-0:amd64 5.4.6-3build2 Installed
liblwp-mediatypes-perl 6.04-2 Installed
liblwp-protocol-https-perl 6.13-1 Installed
liblz4-1:amd64 1.9.4-1build1.1 Installed
liblzma5:amd64 5.6.1+really5.4.5-1ubuntu0.3 Installed
liblzma5:i386 5.6.1+really5.4.5-1ubuntu0.3 Installed
liblzo2-2:amd64 2.10-2build4 Installed
libm17n-0:amd64 1.8.4-1build2 Installed
libmagic-mgc 1:5.45-3build1 Installed
libmagic1t64:amd64 1:5.45-3build1 Installed
libmailtools-perl 2.21-2 Installed
libmalcontent-0-0:amd64 0.11.1-1ubuntu1.3 Installed
libmanette-0.2-0:amd64 0.2.7-1build2 Installed
libmarisa0:amd64 0.2.6-14ubuntu4 Installed
